Vurderingsfagkode;Fagnavn;Skolenavn;2024-25.Skriftlig eksamen. Snittkarakter;2024-25.Skriftlig eksamen;2024-25.Standpunkt. Snittkarakter;2024-25.Standpunkt
MAT1023;Matematikk 2P;Alle skoler;3,1;640;3,5;3 085
MAT1023;Matematikk 2P;Akademiet Oslo AS;2,5;23;3,5;96
MAT1023;Matematikk 2P;Akademiet Vgs Bislett AS;;;3,9;16
MAT1023;Matematikk 2P;Bjerke videregående skole;2,4;26;2,9;214
MAT1023;Matematikk 2P;Bjørnholt videregående skole;1,6;23;3,2;53
MAT1023;Matematikk 2P;Blindern videregående skole;3,1;35;3,3;93
MAT1023;Matematikk 2P;Edvard Munch videregående skole;4;50;3,9;205
MAT1023;Matematikk 2P;Eikelund videregående skole;;;3,1;17
MAT1023;Matematikk 2P;Elvebakken videregående skole;4,6;47;4,6;148
MAT1023;Matematikk 2P;Foss videregående skole;4,1;22;4,3;121
MAT1023;Matematikk 2P;Fyrstikkalleen skole;2,5;19;3,6;144
MAT1023;Matematikk 2P;Hartvig Nissens skole;3;42;3,3;172
MAT1023;Matematikk 2P;Hellerud videregående skole;2,3;12;2,7;91
MAT1023;Matematikk 2P;Heltberg private gymnas;2,1;11;3,3;46
MAT1023;Matematikk 2P;Hersleb videregående skole;1,8;14;2,4;62
MAT1023;Matematikk 2P;Kongshavn videregående skole;2,7;19;3,3;121
MAT1023;Matematikk 2P;Kongsskogen videregående skole;*;*;4,1;15
MAT1023;Matematikk 2P;Kristelig gymnasium AS videregående skole;3;28;3,9;98
MAT1023;Matematikk 2P;Kuben videregående skole;2,6;34;2,9;108
MAT1023;Matematikk 2P;Lambertseter videregående skole;3,4;33;3,5;233
MAT1023;Matematikk 2P;Nydalen videregående skole;4,2;13;4,6;43
MAT1023;Matematikk 2P;Oslo Handelsgymnasium;2,6;26;3,3;178
MAT1023;Matematikk 2P;Oslo katedralskole;3,6;13;3,9;55
MAT1023;Matematikk 2P;Oslo private gymnasium AS;;;4,4;21
MAT1023;Matematikk 2P;Otto Treider private gymnas AS;;;3;56
MAT1023;Matematikk 2P;Persbråten videregående skole;3,5;26;3,3;122
MAT1023;Matematikk 2P;Stovner videregående skole;1,8;16;3;66
MAT1023;Matematikk 2P;Ullern videregående skole;*;*;4,5;113
MAT1023;Matematikk 2P;Ulsrud videregående skole;2,2;26;2,8;68
MAT1023;Matematikk 2P;Valle Hovin videregående skole;3,5;16;3,9;90
MAT1023;Matematikk 2P;Vika videregående skole;3,3;27;3,8;111
MAT1023;Matematikk 2P;Wang videregående Skole/ Wang Toppidrett;3,5;20;3,8;109
MAT1151;Matematikk 2P-Y;Alle skoler;2,4;321;3,3;604
MAT1151;Matematikk 2P-Y;Akademiet Oslo AS;3,2;26;3,8;48
MAT1151;Matematikk 2P-Y;Akademiet Vgs Bislett AS;3,3;11;4,4;24
MAT1151;Matematikk 2P-Y;Eikelund videregående skole;2,3;10;2,5;10
MAT1151;Matematikk 2P-Y;Elvebakken videregående skole;3,2;11;4,1;31
MAT1151;Matematikk 2P-Y;Etterstad videregående skole;2,2;57;3,3;100
MAT1151;Matematikk 2P-Y;Hellerud videregående skole;2,1;35;3;106
MAT1151;Matematikk 2P-Y;Hersleb videregående skole;2,4;65;3,2;97
MAT1151;Matematikk 2P-Y;Kuben videregående skole;3,1;20;3;35
MAT1151;Matematikk 2P-Y;Natur videregående skole Sti;;;3,4;21
MAT1151;Matematikk 2P-Y;Stovner videregående skole;1,8;41;2,7;72
MAT1151;Matematikk 2P-Y;Ulsrud videregående skole;2,3;45;3,2;60
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Alle skoler;3,3;105;3,7;1 063
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Akademiet Norsk restaurantskole Sti;;;*;*
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Akademiet Oslo AS;*;*;4,7;23
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Bjørnholt videregående skole;*;*;3,4;71
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Edvard Munch videregående skole;4,3;11;4;55
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Eikelund videregående skole;;;*;*
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Elvebakken videregående skole;3,8;12;4,1;75
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Etterstad videregående skole;2;15;3,3;154
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Fyrstikkalleen skole;2,9;13;3,8;44
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Hellerud videregående skole;2,6;7;3,7;33
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Hersleb videregående skole;;;3,5;38
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Kuben videregående skole;2,8;9;3,6;272
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Natur videregående skole Sti;*;*;*;*
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Nydalen videregående skole;;;4,3;135
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Oslo voksenopplæring Helsfyr;;;*;*
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Stovner videregående skole;*;*;2,9;73
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Ullern videregående skole;4;6;4,1;28
NOR1262;Norsk, vg2 yrkesfaglige utdanningsprogram;Ulsrud videregående skole;;;*;*
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Alle skoler;3,7;5 027;4,1;5 126
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Akademiet Oslo AS;3;135;3,8;136
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Akademiet Vgs Bislett AS;3,7;52;4,3;53
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Bjerke videregående skole;3,1;285;3,8;289
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Bjørnholt videregående skole;3,1;79;3,6;79
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Blindern videregående skole;3,9;171;4,1;220
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Den Tysk-Norske skolen i Oslo avd grunnskole Sporveisgata;3,9;16;4,4;16
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Edvard Munch videregående skole;4,1;342;4,4;345
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Eikelund videregående skole;3,4;11;4,3;15
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Elvebakken videregående skole;4,4;374;4,9;377
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Foss videregående skole;4,1;300;4,4;304
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Fyrstikkalleen skole;3,3;185;3,7;189
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Hartvig Nissens skole;3,9;182;4,3;184
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Hellerud videregående skole;2,8;99;3,4;99
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Heltberg private gymnas;3,1;65;4;65
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Hersleb videregående skole;2,5;75;3;75
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Kongshavn videregående skole;3,6;141;3,9;142
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Kongsskogen videregående skole;3,7;23;4,3;23
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Kristelig gymnasium AS videregående skole;4;179;4,3;180
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Kuben videregående skole;3,3;173;3,7;175
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Lambertseter videregående skole;3,5;285;4;287
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Nydalen videregående skole;4,5;189;4,9;192
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Oslo Handelsgymnasium;3,5;248;4;249
NOR1267;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Oslo katedralskole;4,4;179;4,8;180
