Fagkode;Fagnavn;Skolenavn;2022-23.Muntlig eksamen Snittkarakter;2022-23.Muntlig eksamen Antall elever;2022-23.Standpunkt Snittkarakter;2022-23.Standpunkt Antall elever;2023-24.Muntlig eksamen Snittkarakter;2023-24.Muntlig eksamen Antall elever;2023-24.Standpunkt Snittkarakter;2023-24.Standpunkt Antall elever;2024-25.Muntlig eksamen Snittkarakter;2024-25.Muntlig eksamen Antall elever;2024-25.Standpunkt Snittkarakter;2024-25.Standpunkt Antall elever
GEO1003;Geografi;Alle skoler;4,4;808;4,4;32 460;4,5;895;4,4;33 188;4,4;913;4,4;33 332
GEO1003;Geografi;Alle skoler;4,4;808;4,4;32 460;4,5;895;4,4;33 188;4,4;913;4,4;33 332
GEO1003;Geografi;Alle skoler;4,3;189;4,5;5 081;4,7;212;4,5;5 322;4,5;190;4,5;5 351
GEO1003;Geografi;Akademiet Oslo AS;3,7;6;4,2;134;;;4,4;155;3,9;14;4,7;144
GEO1003;Geografi;Akademiet Vgs Bislett AS;*;*;4,4;48;;;4,2;49;;;3,9;44
GEO1003;Geografi;Bjerke videregående skole;4,3;8;4;301;4,1;7;3,7;289;3,9;16;4,1;285
GEO1003;Geografi;Bjørnholt videregående skole;*;*;3,3;74;;;4;67;*;*;3,9;53
GEO1003;Geografi;Blindern videregående skole;4,6;8;5;211;;;4,4;229;;;4,3;303
GEO1003;Geografi;Edvard Munch videregående skole;4,3;16;5;261;5,1;29;4,9;271;5,1;24;4,9;279
GEO1003;Geografi;Eikelund videregående skole;;;;;;;;;;;*;*
GEO1003;Geografi;Elvebakken videregående skole;5;19;5,5;326;*;*;5,5;318;5,4;13;5,5;329
GEO1003;Geografi;Foss videregående skole;5,3;8;5;303;5,3;30;5,4;304;5,2;16;5,3;309
GEO1003;Geografi;Fyrstikkalleen skole;;;4;194;4,3;7;4,2;194;4,5;13;3,8;212
GEO1003;Geografi;Hartvig Nissens skole;4,1;14;4,1;221;4,6;15;4,6;219;4,9;8;4,7;236
GEO1003;Geografi;Hellerud videregående skole;;;3,9;134;4,2;6;3,5;142;;;3,7;146
GEO1003;Geografi;Heltberg private gymnas;;;3,9;92;4,9;8;4;94;;;4,9;32
GEO1003;Geografi;Hersleb videregående skole;;;3;72;;;3;46;*;*;3,1;101
GEO1003;Geografi;Kongshavn videregående skole;;;4,3;163;;;3,8;200;;;4,2;176
GEO1003;Geografi;Kongsskogen videregående skole;;;4,9;16;;;4,8;16;;;*;*
GEO1003;Geografi;Kristelig gymnasium AS videregående skole;;;4,8;180;5,1;7;4,7;177;;;4,9;179
GEO1003;Geografi;Kuben videregående skole;4,3;8;3,8;149;3,6;16;3,9;200;3,1;7;3,8;190
GEO1003;Geografi;Lambertseter videregående skole;4,5;8;4,4;285;5;8;4,5;311;4,9;15;4,4;280
GEO1003;Geografi;Nydalen videregående skole;5,5;6;5,5;193;*;*;5,6;194;;;5,6;197
GEO1003;Geografi;Oslo Handelsgymnasium;*;*;4;261;4,6;7;4,1;295;5,1;7;4,1;247
GEO1003;Geografi;Oslo katedralskole;;;5,1;201;4,3;8;4,7;200;;;4,9;198
GEO1003;Geografi;Oslo private gymnasium AS;*;*;4,8;66;;;5;64;;;4,8;72
GEO1003;Geografi;Otto Treider private gymnas AS;4,6;16;3,8;104;;;3,5;110;;;4;84
GEO1003;Geografi;Persbråten videregående skole;4,1;7;4,1;183;3,2;14;4,3;156;4,7;17;4,6;172
GEO1003;Geografi;Stovner videregående skole;3,3;7;3,6;82;;;3,4;81;3,9;8;3,7;94
GEO1003;Geografi;Ullern videregående skole;3,4;8;5,2;246;5;15;5;280;5,3;9;5,1;262
GEO1003;Geografi;Ulsrud videregående skole;3,3;7;3;42;;;3,1;53;;;3,7;76
GEO1003;Geografi;Valle Hovin videregående skole;4,5;14;4,5;174;5;7;4,6;183;3,8;6;4,5;213
GEO1003;Geografi;Vika videregående skole;;;4,6;155;4,3;8;4,4;201;;;4,3;220
GEO1003;Geografi;Wang videregående Skole/ Wang Toppidrett;4,1;8;4,3;210;4,5;8;4,5;224;4,8;8;4,5;197
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Alle skoler;4,5;5 886;4,5;32 127;4,5;5 736;4,6;31 692;4,6;6 084;4,6;31 663
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Alle skoler;4,5;5 886;4,5;32 127;4,5;5 736;4,6;31 692;4,6;6 084;4,6;31 663
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Alle skoler;4,6;933;4,6;4 799;4,5;942;4,6;4 979;4,7;1 007;4,7;4 997
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Akademiet Oslo AS;4,1;19;4,3;101;3,9;19;4,2;120;4,2;39;4,4;138
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Akademiet Vgs Bislett AS;3,7;15;4,1;60;4,3;16;4,3;51;4,4;8;4,4;53
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Bjerke videregående skole;3,8;47;4,4;244;3,8;46;4,3;267;4,3;60;4,5;295
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Bjørnholt videregående skole;3,8;24;3,5;87;3,6;23;3,5;78;3,2;13;3,7;78
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Blindern videregående skole;4,7;46;4,6;221;4,6;46;4,6;208;4,6;48;4,9;219
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Edvard Munch videregående skole;5,1;63;4,6;268;4,8;64;4,8;281;4,8;61;4,8;298
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Eikelund videregående skole;;;;;;;;;*;*;*;*
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Elvebakken videregående skole;5,4;60;5,3;342;5,4;64;5,4;341;5,3;63;5,4;335
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Foss videregående skole;5,2;22;5,2;249;5;25;5,1;278;4,8;32;5,1;302
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Fyrstikkalleen skole;4,5;35;4,1;194;4,3;29;4,2;177;4,4;49;4,1;187
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Hartvig Nissens skole;4,6;51;4,2;206;4,5;29;4,6;210;5,2;35;4,7;196
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Hellerud videregående skole;3,5;28;4;148;3,9;30;4;136;4,3;33;4;125
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Heltberg private gymnas;4,6;7;4,2;73;4,2;30;4,7;87;3,5;16;4,3;65
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Hersleb videregående skole;4;31;3,8;97;3,8;20;3,6;52;3,8;29;3,4;73
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Kongshavn videregående skole;4,3;30;4,1;151;4,2;24;4,1;154;4,7;38;4,5;168
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Kongsskogen videregående skole;*;*;4,9;14;4,9;7;*;*;*;*;*;*
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Kristelig gymnasium AS videregående skole;5,2;29;5;177;5;27;5;179;4,8;45;5,1;177
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Kuben videregående skole;4,6;46;4,1;144;4,5;47;4,3;132;4,5;46;4,3;132
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Lambertseter videregående skole;4,8;60;4,7;306;4,6;56;4,6;295;4,6;50;4,5;275
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Nydalen videregående skole;5,2;23;5,2;183;5,1;12;5,4;188;5,4;46;5,4;197
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Oslo Handelsgymnasium;4,4;49;4,3;272;4,6;42;4,4;265;4,9;46;4,5;246
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Oslo katedralskole;5,1;30;5,1;195;4,7;39;5;205;5,6;20;5,2;204
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Oslo private gymnasium AS;5,1;15;5,1;63;4,8;8;4,8;65;5;8;4,9;66
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Oslo voksenopplæring Sinsen;;;;;;;*;*;;;;
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Otto Treider private gymnas AS;3,8;23;4;91;4,5;16;4,2;90;3,8;6;4,5;70
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Persbråten videregående skole;3,9;35;4;145;4;45;4;155;4,5;51;4,4;178
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Stovner videregående skole;*;*;3,8;101;3,9;25;3,8;98;3,8;30;3,7;94
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Ullern videregående skole;5,6;34;5,3;250;5,1;35;5,2;246;5,4;27;5,3;246
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Ulsrud videregående skole;3,1;17;3,2;45;3,7;15;3,2;48;3,7;7;3,5;31
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Valle Hovin videregående skole;4,5;37;4,7;162;4,7;37;4,6;158;5;30;4,7;159
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Vika videregående skole;;;;;3,9;30;4,3;181;4,6;29;4,8;147
HIS1010;Historie Vg3 studieforberedende utdanningsprogram;Wang videregående Skole/ Wang Toppidrett;4,9;39;4,6;210;4,8;36;4,7;208;4,9;31;4,7;216
NAT1007;Naturfag vg1 studieforberedende utdanningsprogram;Alle skoler;4,3;588;4,3;34 955;4,2;584;4,3;34 968;4,3;580;4,3;35 431
NAT1007;Naturfag vg1 studieforberedende utdanningsprogram;Alle skoler;4,3;588;4,3;34 955;4,2;584;4,3;34 968;4,3;580;4,3;35 431
NAT1007;Naturfag vg1 studieforberedende utdanningsprogram;Alle skoler;4,2;129;4,3;5 417;4,1;77;4,3;5 714;4,4;125;4,4;5 609
NAT1007;Naturfag vg1 studieforberedende utdanningsprogram;Akademiet Oslo AS;;;4,1;138;4,3;17;4,2;147;*;*;4,6;155
